File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T11:07:56.492_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:09:55.961_0000.root, 1, 47, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:11:56.492_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:13:56.492_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:15:56.634_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:17:56.492_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:19:56.493_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:21:56.492_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:23:56.181_0000.root, 1, 37, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T11:25:56.493_0000.root, 1, 33, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:27:56.493_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:29:55.743_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:31:56.493_0000.root, 1, 32, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:33:56.373_0000.root, 1, 36, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T11:35:55.807_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:37:56.029_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:39:56.494_0000.root, 1, 47, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:41:56.493_0000.root, 1, 36, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T11:43:55.744_0000.root, 1, 33, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:45:56.134_0000.root, 1, 28, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:47:56.174_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:49:56.494_0000.root, 1, 36, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:51:56.349_0000.root, 1, 33, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:53:55.555_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T11:55:56.494_0000.root, 1, 14, 45, 0
